"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72046800466","2025-01-01","30.55838","-92.09938","23.2","ST LANDRY PARISH AIRPORT AHART FIELD, LA US","  50.3","24","  39.4","24","9999.9"," 0","021.6","19"," 10.0","11","  4.5","24"," 11.1"," 15.0","  59.0"," ","  40.8"," "," 0.00","I","999.9","000000"
"72046800466","2025-01-02","30.55838","-92.09938","23.2","ST LANDRY PARISH AIRPORT AHART FIELD, LA US","  47.5","24","  38.9","24","9999.9"," 0","023.9","24"," 10.0","13","  2.8","24","  6.0","999.9","  62.2"," ","  37.2"," "," 0.00","I","999.9","000000"
"72046800466","2025-01-03","30.55838","-92.09938","23.2","ST LANDRY PARISH AIRPORT AHART FIELD, LA US","  58.6","24","  47.9","24","9999.9"," 0","023.8","24"," 10.0","24","  2.6","24","  8.0","999.9","  67.3"," ","  53.8"," "," 0.00","I","999.9","000000"
"72046800466","2025-01-04","30.55838","-92.09938","23.2","ST LANDRY PARISH AIRPORT AHART FIELD, LA US","  54.2","24","  43.6","24","9999.9"," 0","023.1","24"," 10.0","24","  4.8","24","  9.9"," 18.1","  63.0"," ","  48.9"," "," 0.00","I","999.9","000000"
"72046800466","2025-01-05","30.55838","-92.09938","23.2","ST LANDRY PARISH AIRPORT AHART FIELD, LA US","  64.6","24","  58.8","24","9999.9"," 0","013.2","24","  9.3","11"," 11.4","24"," 28.0"," 35.9","  75.4"," ","  57.6"," "," 0.00","I","999.9","000000"
"72046800466","2025-01-06","30.55838","-92.09938","23.2","ST LANDRY PARISH AIRPORT AHART FIELD, LA US","  42.1","19","  32.8","19","9999.9"," 0","016.1","19"," 10.0","15"," 11.5","19"," 21.0"," 29.9","  72.0","*","  30.2","*"," 0.25","G","999.9","010010"
"72046800466","2025-01-14","30.55838","-92.09938","23.2","ST LANDRY PARISH AIRPORT AHART FIELD, LA US","  50.1","10","  30.5","10","9999.9"," 0","027.0","10"," 10.0","10","  3.8","10","  7.0","999.9","  54.7","*","  39.2","*"," 0.00","G","999.9","000000"
"72046800466","2025-01-15","30.55838","-92.09938","23.2","ST LANDRY PARISH AIRPORT AHART FIELD, LA US","  50.4","24","  35.6","24","9999.9"," 0","026.4","24"," 10.0","24","  2.5","24","  7.0","999.9","  56.5"," ","  46.9"," ","99.99"," ","999.9","010000"
"72046800466","2025-01-16","30.55838","-92.09938","23.2","ST LANDRY PARISH AIRPORT AHART FIELD, LA US","  48.6","24","  35.9","24","9999.9"," 0","025.2","24"," 10.0","20","  2.2","24","  7.0","999.9","  62.1"," ","  32.4"," "," 0.00","I","999.9","000000"
"72046800466","2025-01-17","30.55838","-92.09938","23.2","ST LANDRY PARISH AIRPORT AHART FIELD, LA US","  45.8","24","  35.9","24","9999.9"," 0","017.8","24"," 10.0","24","  2.7","24"," 12.0","999.9","  61.0"," ","  32.9"," "," 0.00","I","999.9","000000"
"72046800466","2025-01-18","30.55838","-92.09938","23.2","ST LANDRY PARISH AIRPORT AHART FIELD, LA US","  63.2","24","  53.6","24","9999.9"," 0","007.2","24","  9.1","24","  5.8","24"," 13.0"," 19.0","  70.7"," ","  57.2"," "," 0.02","G","999.9","010000"
"72046800466","2025-01-19","30.55838","-92.09938","23.2","ST LANDRY PARISH AIRPORT AHART FIELD, LA US","  47.5","24","  35.2","24","9999.9"," 0","017.6","24"," 10.0","24"," 10.0","24"," 15.9"," 22.0","  60.8"," ","  37.8"," "," 0.00","G","999.9","000000"
"72046800466","2025-01-20","30.55838","-92.09938","23.2","ST LANDRY PARISH AIRPORT AHART FIELD, LA US","  31.3","24","  12.7","24","9999.9"," 0","029.5","24"," 10.0","24","  6.4","24"," 12.0"," 19.0","  38.5"," ","  23.0"," "," 0.00","I","999.9","000000"
