"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"A0000812978","2025-01-01","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  50.7","20","  39.3","20","9999.9"," 0","012.3","20","  8.6","20","  5.7","20"," 11.1"," 15.0","  61.3","*","  42.1","*"," 0.00","I","999.9","000000"
"A0000812978","2025-01-02","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  51.1","24","  46.4","24","9999.9"," 0","012.9","24","  7.3","24","  1.6","24","  6.0","999.9","  61.3","*","  41.9","*"," 0.00","I","999.9","000000"
"A0000812978","2025-01-03","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  59.2","24","  56.8","24","9999.9"," 0","013.1","24","  6.7","24","  3.4","24","  7.0","999.9","  70.3","*","  51.3","*","99.99"," ","999.9","010000"
"A0000812978","2025-01-04","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  63.9","24","  61.2","24","9999.9"," 0","009.6","24","  7.7","24","  5.3","24"," 14.0"," 25.1","  73.8","*","  57.6","*","99.99"," ","999.9","010000"
"A0000812978","2025-01-05","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  69.3","24","  63.4","24","9999.9"," 0","000.5","24","  9.9","24"," 11.7","24"," 22.9"," 27.0","  75.6","*","  56.1","*","99.99"," ","999.9","010000"
"A0000812978","2025-01-06","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  38.8","24","  17.5","24","9999.9"," 0","013.6","24","  9.7","24"," 14.3","24"," 22.9"," 31.1","  54.5","*","  29.1","*"," 0.00","I","999.9","000000"
"A0000812978","2025-01-07","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  36.3","24","  17.4","24","9999.9"," 0","018.1","24"," 10.0","24","  5.2","24"," 11.1","999.9","  47.7","*","  28.4","*"," 0.00","I","999.9","000000"
"A0000812978","2025-01-08","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  38.1","24","  20.3","24","9999.9"," 0","020.9","24","  9.7","24","  7.8","24"," 11.1"," 15.9","  43.2","*","  34.3","*"," 0.00","I","999.9","000000"
"A0000812978","2025-01-09","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  39.9","24","  24.7","24","9999.9"," 0","011.5","24","  8.1","24","  4.1","24"," 11.1","999.9","  43.3","*","  37.4","*","99.99"," ","999.9","011000"
"A0000812978","2025-01-10","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  39.3","24","  36.8","24","9999.9"," 0","005.5","24","  8.0","24"," 12.1","24"," 20.0"," 28.9","  43.2","*","  36.9","*","99.99"," ","999.9","011000"
"A0000812978","2025-01-11","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  39.8","24","  28.9","24","9999.9"," 0","008.1","24","  9.9","24","  6.1","24"," 13.0"," 18.1","  59.0","*","  26.6","*"," 0.00","I","999.9","000000"
"A0000812978","2025-01-12","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  45.6","24","  35.1","24","9999.9"," 0","001.6","24"," 10.0","24","  3.8","24"," 12.0","999.9","  65.5","*","  33.6","*"," 0.00","I","999.9","000000"
"A0000812978","2025-01-13","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  48.6","24","  33.1","24","9999.9"," 0","011.3","24","  6.3","24","  7.2","24"," 12.0"," 17.1","  57.6","*","  40.5","*"," 0.00","I","999.9","000000"
"A0000812978","2025-01-14","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  43.3","24","  30.8","24","9999.9"," 0","016.1","24","  7.4","24","  1.9","24","  6.0","999.9","  53.1","*","  35.8","*"," 0.00","I","999.9","000000"
"A0000812978","2025-01-15","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  51.3","24","  38.8","24","9999.9"," 0","016.2","24","  7.6","24","  3.9","24","  9.9","999.9","  58.3","*","  47.8","*","99.99"," ","999.9","010000"
"A0000812978","2025-01-16","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  48.1","23","  33.5","23","9999.9"," 0","016.8","23","  9.9","23","  1.7","23","  5.1","999.9","  63.9","*","  31.6","*"," 0.00","I","999.9","000000"
"A0000812978","2025-01-17","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  51.1","24","  43.8","24","9999.9"," 0","006.0","24","  9.1","24","  6.1","24"," 14.0"," 35.0","  60.4","*","  43.7","*","99.99"," ","999.9","010000"
"A0000812978","2025-01-18","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  54.5","24","  46.2","24","9999.9"," 0","999.5","24","  9.7","24","  7.1","24"," 15.9"," 19.0","  60.3","*","  44.2","*"," 0.00","I","999.9","000000"
"A0000812978","2025-01-19","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  39.1","24","  16.5","24","9999.9"," 0","014.3","24"," 10.0","24"," 12.7","24"," 22.0"," 28.9","  53.6","*","  29.1","*"," 0.00","I","999.9","000000"
"A0000812978","2025-01-20","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  29.6","24","   9.6","24","9999.9"," 0","019.5","24"," 10.0","24","  4.6","24","  9.9","999.9","  36.1","*","  22.6","*"," 0.00","I","999.9","000000"
"A0000812978","2025-01-21","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  31.1","24","  22.4","24","9999.9"," 0","024.0","24","  7.5","24","  8.8","24"," 14.0"," 20.0","  38.1","*","  27.0","*","99.99"," ","999.9","011000"
"A0000812978","2025-01-22","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  32.8","21","  20.1","21","9999.9"," 0","019.9","21"," 10.0","21","  5.6","21"," 14.0"," 19.0","  50.4","*","  18.5","*"," 0.00","I","999.9","000000"
"A0000812978","2025-01-23","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  39.6","24","  24.7","24","9999.9"," 0","016.8","24"," 10.0","24","  4.4","24"," 13.0"," 18.1","  56.5","*","  26.4","*"," 0.00","I","999.9","000000"
"A0000812978","2025-01-24","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  39.8","24","  20.3","24","9999.9"," 0","019.9","24"," 10.0","24","  2.8","24","  8.0","999.9","  58.5","*","  22.6","*"," 0.00","I","999.9","000000"
"A0000812978","2025-01-25","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  44.6","24","  37.1","24","9999.9"," 0","012.6","24"," 10.0","24","  4.3","24","  9.9","999.9","  63.5","*","  31.8","*","99.99"," ","999.9","010000"
"A0000812978","2025-01-26","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  58.4","24","  58.4","24","9999.9"," 0","009.6","24","  5.9","24","  4.4","24"," 12.0","999.9","  60.6","*","  54.0","*","99.99"," ","999.9","110000"
"A0000812978","2025-01-27","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  48.2","24","  47.8","24","9999.9"," 0","011.5","24","  6.4","24","  7.4","24"," 11.1","999.9","  52.2","*","  44.2","*","99.99"," ","999.9","010000"
"A0000812978","2025-01-28","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  50.7","24","  50.6","24","9999.9"," 0","008.6","24","  6.9","24","  3.6","24","  7.0","999.9","  54.5","*","  48.2","*","99.99"," ","999.9","010000"
"A0000812978","2025-01-29","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  59.5","24","  59.5","24","9999.9"," 0","003.8","24","  4.1","24","  3.1","24"," 11.1","999.9","  71.1","*","  54.3","*","99.99"," ","999.9","110000"
"A0000812978","2025-01-30","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  68.3","24","  66.7","24","9999.9"," 0","998.7","24","  9.4","24"," 10.4","24"," 17.1"," 22.9","  71.8","*","  58.3","*","99.99"," ","999.9","010000"
"A0000812978","2025-01-31","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  56.5","22","  45.5","22","9999.9"," 0","004.2","22","  9.6","22","  7.0","22"," 15.0"," 20.0","  71.8","*","  47.5","*"," 0.00","I","999.9","000000"
"A0000812978","2025-02-01","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  51.8","19","  36.4","19","9999.9"," 0","010.0","19","  9.6","19","  1.6","19","  7.0","999.9","  75.2","*","  34.3","*"," 0.00","I","999.9","000000"
"A0000812978","2025-02-02","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  58.1","24","  44.9","24","9999.9"," 0","007.3","24","  9.9","24","  5.3","24"," 11.1"," 17.1","  79.2","*","  40.5","*"," 0.00","I","999.9","000000"
"A0000812978","2025-02-03","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  68.7","24","  64.8","24","9999.9"," 0","005.2","24","  9.7","24","  8.2","24"," 14.0"," 19.0","  81.0","*","  60.1","*"," 0.00","I","999.9","000000"
"A0000812978","2025-02-04","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  72.6","24","  68.9","24","9999.9"," 0","006.2","24","  9.8","24","  6.6","24"," 13.0"," 17.1","  84.7","*","  67.1","*"," 0.00","I","999.9","000000"
"A0000812978","2025-02-05","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  72.0","24","  69.8","24","9999.9"," 0","006.0","24","  9.6","24","  6.8","24"," 15.9","999.9","  81.3","*","  66.2","*"," 0.00","I","999.9","000000"
"A0000812978","2025-02-06","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  73.0","24","  69.8","24","9999.9"," 0","003.2","24","  9.9","24","  7.5","24"," 14.0"," 18.1","  82.9","*","  68.0","*"," 0.00","I","999.9","000000"
"A0000812978","2025-02-07","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  72.2","23","  69.6","23","9999.9"," 0","004.8","23"," 10.0","23","  8.1","23"," 14.0"," 15.9","  80.6","*","  67.8","*"," 0.00","I","999.9","000000"
"A0000812978","2025-02-08","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  74.4","24","  69.3","24","9999.9"," 0","003.0","24","  9.8","24","  9.8","24"," 15.9"," 22.0","  87.4","*","  66.2","*"," 0.00","I","999.9","000000"
"A0000812978","2025-02-09","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  68.0","24","  63.4","24","9999.9"," 0","005.3","24","  9.9","24","  7.0","24"," 12.0","999.9","  79.0","*","  60.1","*"," 0.00","I","999.9","000000"
"A0000812978","2025-02-10","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  54.6","24","  53.1","24","9999.9"," 0","009.7","24","  9.0","24","  7.2","24"," 12.0"," 17.1","  61.5","*","  49.5","*","99.99"," ","999.9","010000"
"A0000812978","2025-02-11","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  54.2","24","  53.6","24","9999.9"," 0","002.6","24","  6.2","24","  5.4","24"," 13.0"," 15.0","  59.7","*","  50.4","*"," 0.00","G","999.9","010000"
"A0000812978","2025-02-12","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  51.0","24","  50.8","24","9999.9"," 0","995.2","24","  6.7","24","  7.2","24"," 15.9"," 22.9","  55.2","*","  48.6","*"," 0.30","G","999.9","110000"
"A0000812978","2025-02-13","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  42.1","24","  35.0","24","9999.9"," 0","009.8","24","  9.1","24"," 11.9","24"," 15.9"," 24.1","  50.0","*","  33.1","*"," 0.09","G","999.9","000000"
"A0000812978","2025-02-14","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  42.6","24","  34.7","24","9999.9"," 0","015.5","24","  9.5","24","  4.5","24","  8.9","999.9","  49.6","*","  37.4","*"," 0.00","G","999.9","010000"
"A0000812978","2025-02-15","29.90778","-96.95","98.8","FAYETTE REGIONAL AIR CENTER AIRPORT, TX US","  52.8","24","  52.7","24","9999.9"," 0","001.3","24","  5.1","24","  3.8","24","  8.9","999.9","  64.8","*","  48.6","*"," 0.01","G","999.9","010000"
